run_id,scenario_id,role,exit_reason,exit_status,cpu_pct,cpu_pct_peak,close_ms,rss_mb,attempted,accepted,delivered,accepted_r,accepted_u,delivered_r,delivered_u,accepted_ratio,delivery_ratio,server_received,server_echo_accepted,server_received_r,server_received_u,server_echo_accepted_r,server_echo_accepted_u,server_recv_drained_p99,server_recv_drained_max,client_tick_ok,client_tick_ok_check,client_tick_gap_p99_us,client_pacing_lag_p99_us,client_recv_drained_p99,client_recv_drained_max,client_outstanding_max,conn_peak,conn_disc_transport,conn_disc_peer,raw_result_path,stdout_path,stderr_path,delivery_dedup_policy
gns_return_channel_tail3000_n3_3,gns_r50_u50_64_1000_echo_1_adaptive,server,ok,0,171.33,195.29,13,37,,,,,,,,,,1721770,1721770,1000000,721770,1000000,721770,4221,9324,,,,,,,,0,0,0,/tmp/return_channel_tail3000_n3_gns_run3_raw/gns_return_channel_tail3000_n3_3/s_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_gns_run3_raw/gns_return_channel_tail3000_n3_3/s_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_gns_run3_raw/gns_return_channel_tail3000_n3_3/s_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,
gns_return_channel_tail3000_n3_3,gns_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.71,143,10,44,2000000,2000000,1714492,1000000,1000000,1000000,714492,1.0000,0.8572,,,,,,,,,1,1,61,6959,261,1420,75489,0,0,0,/tmp/return_channel_tail3000_n3_gns_run3_raw/gns_return_channel_tail3000_n3_3/c_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3_gns_run3_raw/gns_return_channel_tail3000_n3_3/c_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3_gns_run3_raw/gns_return_channel_tail3000_n3_3/c_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
enet_return_channel_tail3000_n3b_1,enet_r50_u50_64_1000_echo_1_adaptive,server,ok,0,91.99,99.91,0,19,,,,,,,,,,1806276,1806275,996166,810110,996166,810109,5957,11136,,,,,,,,1000,3,0,/tmp/return_channel_tail3000_n3b_enet_run1_raw/enet_return_channel_tail3000_n3b_1/s_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_enet_run1_raw/enet_return_channel_tail3000_n3b_1/s_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_enet_run1_raw/enet_return_channel_tail3000_n3b_1/s_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,
enet_return_channel_tail3000_n3b_1,enet_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.59,100,0,35,2000000,1997640,1769769,998820,998820,996027,773742,0.9988,0.8859,,,,,,,,,1,1,58,4545,44,560,67259,1000,5,0,/tmp/return_channel_tail3000_n3b_enet_run1_raw/enet_return_channel_tail3000_n3b_1/c_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_enet_run1_raw/enet_return_channel_tail3000_n3b_1/c_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_enet_run1_raw/enet_return_channel_tail3000_n3b_1/c_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
enet_return_channel_tail3000_n3b_2,enet_r50_u50_64_1000_echo_1_adaptive,server,ok,0,91.55,99.57,1,28,,,,,,,,,,1694271,1694228,970985,723286,970958,723270,14369,19426,,,,,,,,1000,24,0,/tmp/return_channel_tail3000_n3b_enet_run2_raw/enet_return_channel_tail3000_n3b_2/s_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_enet_run2_raw/enet_return_channel_tail3000_n3b_2/s_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_enet_run2_raw/enet_return_channel_tail3000_n3b_2/s_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,
enet_return_channel_tail3000_n3b_2,enet_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.75,100,0,34,2000000,1988305,1629069,994153,994152,969609,659460,0.9942,0.8193,,,,,,,,,1,1,55,3361,68,893,102139,1000,38,0,/tmp/return_channel_tail3000_n3b_enet_run2_raw/enet_return_channel_tail3000_n3b_2/c_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_enet_run2_raw/enet_return_channel_tail3000_n3b_2/c_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_enet_run2_raw/enet_return_channel_tail3000_n3b_2/c_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
enet_return_channel_tail3000_n3b_3,enet_r50_u50_64_1000_echo_1_adaptive,server,ok,0,91.46,99.91,1,25,,,,,,,,,,1723417,1723417,978292,745125,978292,745125,6526,10647,,,,,,,,1000,13,0,/tmp/return_channel_tail3000_n3b_enet_run3_raw/enet_return_channel_tail3000_n3b_3/s_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_enet_run3_raw/enet_return_channel_tail3000_n3b_3/s_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_enet_run3_raw/enet_return_channel_tail3000_n3b_3/s_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,
enet_return_channel_tail3000_n3b_3,enet_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.76,100,0,35,2000000,1989492,1677952,994746,994746,978184,699768,0.9947,0.8434,,,,,,,,,1,1,56,4111,70,545,95306,1000,26,0,/tmp/return_channel_tail3000_n3b_enet_run3_raw/enet_return_channel_tail3000_n3b_3/c_enet_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_enet_run3_raw/enet_return_channel_tail3000_n3b_3/c_enet_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_enet_run3_raw/enet_return_channel_tail3000_n3b_3/c_enet_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
gns_return_channel_tail3000_n3b_1,gns_r50_u50_64_1000_echo_1_adaptive,server,ok,0,172.41,195.01,13,37,,,,,,,,,,1719020,1719020,1000000,719020,1000000,719020,5351,9478,,,,,,,,0,0,0,/tmp/return_channel_tail3000_n3b_gns_run1_raw/gns_return_channel_tail3000_n3b_1/s_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_gns_run1_raw/gns_return_channel_tail3000_n3b_1/s_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_gns_run1_raw/gns_return_channel_tail3000_n3b_1/s_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,
gns_return_channel_tail3000_n3b_1,gns_r50_u50_64_1000_echo_1_adaptive,client,ok,0,398.70,158,10,44,2000000,2000000,1711838,1000000,1000000,1000000,711838,1.0000,0.8559,,,,,,,,,1,1,63,7604,262,1177,77840,0,0,0,/tmp/return_channel_tail3000_n3b_gns_run1_raw/gns_return_channel_tail3000_n3b_1/c_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_gns_run1_raw/gns_return_channel_tail3000_n3b_1/c_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_gns_run1_raw/gns_return_channel_tail3000_n3b_1/c_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
gns_return_channel_tail3000_n3b_2,gns_r50_u50_64_1000_echo_1_adaptive,server,ok,0,170.70,195.99,13,36,,,,,,,,,,1722813,1722813,1000000,722813,1000000,722813,3423,8015,,,,,,,,0,0,0,/tmp/return_channel_tail3000_n3b_gns_run2_raw/gns_return_channel_tail3000_n3b_2/s_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_gns_run2_raw/gns_return_channel_tail3000_n3b_2/s_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_gns_run2_raw/gns_return_channel_tail3000_n3b_2/s_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,
gns_return_channel_tail3000_n3b_2,gns_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.36,127,12,44,2000000,2000000,1715487,1000000,1000000,1000000,715487,1.0000,0.8577,,,,,,,,,1,1,66,7364,246,1788,75192,0,0,0,/tmp/return_channel_tail3000_n3b_gns_run2_raw/gns_return_channel_tail3000_n3b_2/c_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_gns_run2_raw/gns_return_channel_tail3000_n3b_2/c_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_gns_run2_raw/gns_return_channel_tail3000_n3b_2/c_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
gns_return_channel_tail3000_n3b_3,gns_r50_u50_64_1000_echo_1_adaptive,server,ok,0,171.32,195.75,13,38,,,,,,,,,,1716787,1716787,1000000,716787,1000000,716787,3663,9952,,,,,,,,0,0,0,/tmp/return_channel_tail3000_n3b_gns_run3_raw/gns_return_channel_tail3000_n3b_3/s_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_gns_run3_raw/gns_return_channel_tail3000_n3b_3/s_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_gns_run3_raw/gns_return_channel_tail3000_n3b_3/s_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,
gns_return_channel_tail3000_n3b_3,gns_r50_u50_64_1000_echo_1_adaptive,client,ok,0,399.66,146,9,44,2000000,2000000,1709416,1000000,1000000,1000000,709416,1.0000,0.8547,,,,,,,,,1,1,63,6796,243,1391,77478,0,0,0,/tmp/return_channel_tail3000_n3b_gns_run3_raw/gns_return_channel_tail3000_n3b_3/c_gns_r50_u50_64_1000_echo_1_adaptive.csv,/tmp/return_channel_tail3000_n3b_gns_run3_raw/gns_return_channel_tail3000_n3b_3/c_gns_r50_u50_64_1000_echo_1_adaptive.stdout.log,/tmp/return_channel_tail3000_n3b_gns_run3_raw/gns_return_channel_tail3000_n3b_3/c_gns_r50_u50_64_1000_echo_1_adaptive.stderr.log,sliding_window_65536_per_conn
