library,scenario_id,profile,conns,cc_algo,thread_model,n_total,n_valid,valid,delivery_ratio_median,forward_delivery_ratio_median,forward_delivery_ratio_r_median,forward_delivery_ratio_u_median,server_echo_accept_ratio_median,server_echo_accept_ratio_r_median,server_echo_accept_ratio_u_median,return_delivery_ratio_median,return_delivery_ratio_r_median,return_delivery_ratio_u_median,server_cpu_pct_median,server_cpu_pct_peak_median,rtt_r_p50_us_median,rtt_r_p95_us_median,rtt_r_p99_us_median,rtt_u_p50_us_median,rtt_u_p95_us_median,rtt_u_p99_us_median,included_run_ids,note
apex_rudp,apex_rudp_r50_u50_64_1500_echo_0_adaptive,echo,1500,none,adapter_worker,1,1,1,0.9897,0.9951,1.0000,0.9902,1.0000,1.0000,1.0000,0.9946,1.0000,0.9892,35.89,38.79,50900,64000,123700,50500,62100,66800,echo_c1500_r1,
apex_rudp,apex_rudp_r50_u50_64_1_echo_0_adaptive,echo,1,none,adapter_worker,1,1,1,0.9905,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9955,1.0000,0.9909,10.81,11.42,50400,63300,122200,50400,61500,65200,echo_c1_r1,
apex_rudp,apex_rudp_r50_u50_64_2000_echo_0_adaptive,echo,2000,none,adapter_worker,1,1,1,0.9909,0.9960,1.0000,0.9919,1.0000,1.0000,1.0000,0.9949,1.0000,0.9897,43.66,49.61,51100,64100,123600,50600,62200,66900,echo_c2000_r1,
apex_rudp,apex_rudp_r50_u50_64_200_echo_0_adaptive,echo,200,none,adapter_worker,1,1,1,0.9904,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9954,1.0000,0.9908,14.91,16.30,50400,63600,125300,50200,61900,66800,echo_c200_r1,
apex_rudp,apex_rudp_r50_u50_64_3000_echo_0_adaptive,echo,3000,none,adapter_worker,1,1,1,0.9896,0.9944,1.0000,0.9889,1.0000,1.0000,1.0000,0.9951,1.0000,0.9901,58.28,67.98,51200,64400,125700,50700,62300,67100,echo_c3000_r1,
apex_rudp,apex_rudp_r50_u50_64_50_echo_0_adaptive,echo,50,none,adapter_worker,1,1,1,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,12.61,13.73,50300,63200,124300,50100,61700,66000,echo_c50_r1,
apex_rudp,apex_rudp_r50_u50_64_600_echo_0_adaptive,echo,600,none,adapter_worker,1,1,1,0.9917,0.9966,1.0000,0.9931,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,21.49,23.37,50500,63900,124700,50200,61700,66500,echo_c600_r1,
coop_rudp,coop_rudp_r0_u30_1000_100_broadcast_0_adaptive,media_relay,100,rate_aimd_paced,single,1,1,1,0.9805,0.9912,,0.9912,0.9992,,0.9992,0.9900,,0.9900,23.34,31.46,0,0,0,51400,62900,67700,media_relay_c100_r1,
coop_rudp,coop_rudp_r0_u30_1000_125_broadcast_0_adaptive,media_relay,125,rate_aimd_paced,single,1,1,1,0.9803,0.9913,,0.9913,0.9992,,0.9992,0.9898,,0.9898,35.39,45.84,0,0,0,52600,64000,68700,media_relay_c125_r1,
coop_rudp,coop_rudp_r0_u30_1000_150_broadcast_0_adaptive,media_relay,150,rate_aimd_paced,single,1,1,1,0.9774,0.9880,,0.9880,0.9992,,0.9992,0.9901,,0.9901,54.78,63.42,0,0,0,56500,68500,73100,media_relay_c150_r1,
coop_rudp,coop_rudp_r0_u30_1000_1_broadcast_0_adaptive,media_relay,1,rate_aimd_paced,single,1,1,1,0.9767,0.9850,,0.9850,1.0000,,1.0000,0.9915,,0.9915,9.86,10.59,0,0,0,49900,61600,64900,media_relay_c1_r1,
coop_rudp,coop_rudp_r0_u30_1000_200_broadcast_0_adaptive,media_relay,200,rate_aimd_paced,single,3,3,1,0.8737,0.9888,,0.9888,0.9040,,0.9040,0.9775,,0.9775,98.81,99.89,0,0,0,145500,193100,208000,media_relay_c200_r1;media_relay_c200_r2;media_relay_c200_r3,
coop_rudp,coop_rudp_r0_u30_1000_50_broadcast_0_adaptive,media_relay,50,rate_aimd_paced,single,1,1,1,0.9784,0.9895,,0.9895,0.9992,,0.9992,0.9895,,0.9895,13.63,15.08,0,0,0,50500,62000,66600,media_relay_c50_r1,
coop_rudp,coop_rudp_r0_u30_1000_5_broadcast_0_adaptive,media_relay,5,rate_aimd_paced,single,1,1,1,0.9783,0.9877,,0.9877,0.9993,,0.9993,0.9912,,0.9912,10.11,11.08,0,0,0,50100,62200,67200,media_relay_c5_r1,
coop_rudp,coop_rudp_r0_u30_1000_75_broadcast_0_adaptive,media_relay,75,rate_aimd_paced,single,1,1,1,0.9762,0.9866,,0.9866,0.9992,,0.9992,0.9902,,0.9902,17.14,19.63,0,0,0,50700,62200,67200,media_relay_c75_r1,
coop_rudp,coop_rudp_r1_u20_128_1_broadcast_0_adaptive,game_server,1,rate_aimd_paced,single,1,1,1,0.9786,0.9905,1.0000,0.9900,1.0000,1.0000,1.0000,0.9880,1.0000,0.9874,9.63,10.73,48200,54800,70700,50300,61600,67200,game_server_c1_r1,
coop_rudp,coop_rudp_r1_u20_128_5_broadcast_0_adaptive,game_server,5,rate_aimd_paced,single,1,1,1,0.9741,0.9876,1.0000,0.9870,0.9981,0.9800,0.9990,0.9882,1.0000,0.9876,9.98,11.04,50700,63700,129700,50200,62100,67400,game_server_c5_r1,
coop_rudp,coop_rudp_r1_u20_128_64_broadcast_0_adaptive,game_server,64,rate_aimd_paced,single,3,3,1,0.8290,0.9893,1.0000,0.9888,0.8513,0.7981,0.8539,0.9842,1.0000,0.9835,12.73,23.22,50900,68300,132600,51000,66600,2118000,game_server_c64_r1;game_server_c64_r2;game_server_c64_r3,
coop_rudp,coop_rudp_r50_u0_64_1000_echo_0_adaptive,reliable_echo,1000,rate_aimd_paced,single,3,0,0,,,,,,,,,,,,,,,,,,,,client_tick
coop_rudp,coop_rudp_r50_u0_64_1_echo_0_adaptive,reliable_echo,1,rate_aimd_paced,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,9.47,10.50,49900,62700,121900,0,0,0,reliable_echo_c1_r1,
coop_rudp,coop_rudp_r50_u0_64_200_echo_0_adaptive,reliable_echo,200,rate_aimd_paced,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,18.35,46.54,50700,64300,124800,0,0,0,reliable_echo_c200_r1,
coop_rudp,coop_rudp_r50_u0_64_50_echo_0_adaptive,reliable_echo,50,rate_aimd_paced,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,10.90,12.56,50400,63400,123000,0,0,0,reliable_echo_c50_r1,
coop_rudp,coop_rudp_r50_u0_64_600_echo_0_adaptive,reliable_echo,600,rate_aimd_paced,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,24.94,50.38,51100,64200,123800,0,0,0,reliable_echo_c600_r1,
coop_rudp,coop_rudp_r50_u50_64_1000_echo_0_adaptive,echo,1000,rate_aimd_paced,single,3,0,0,,,,,,,,,,,,,,,,,,,,client_tick
coop_rudp,coop_rudp_r50_u50_64_1_echo_0_adaptive,echo,1,rate_aimd_paced,single,1,1,1,0.9925,0.9965,1.0000,0.9930,1.0000,1.0000,1.0000,0.9960,1.0000,0.9919,9.55,10.56,50500,62500,113600,50700,61400,66200,echo_c1_r1,
coop_rudp,coop_rudp_r50_u50_64_200_echo_0_adaptive,echo,200,rate_aimd_paced,single,1,1,1,0.9896,0.9948,1.0000,0.9896,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,20.11,48.12,50800,64400,124900,50500,62200,67200,echo_c200_r1,
coop_rudp,coop_rudp_r50_u50_64_50_echo_0_adaptive,echo,50,rate_aimd_paced,single,1,1,1,0.9903,0.9950,1.0000,0.9901,1.0000,1.0000,1.0000,0.9952,1.0000,0.9904,11.45,13.02,50300,63500,119700,50000,61800,66800,echo_c50_r1,
coop_rudp,coop_rudp_r50_u50_64_600_echo_0_adaptive,echo,600,rate_aimd_paced,single,1,1,1,0.9909,0.9961,1.0000,0.9922,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,26.24,49.53,51000,64600,123100,50900,62700,67400,echo_c600_r1,
enet,enet_r0_u30_1000_1_broadcast_0_adaptive,media_relay,1,enet_throttle,single,1,1,1,0.9800,0.9900,,0.9900,1.0000,,1.0000,0.9899,,0.9899,10.35,11.23,0,0,0,49800,62100,69000,media_relay_c1_r1,
enet,enet_r0_u30_1000_50_broadcast_0_adaptive,media_relay,50,enet_throttle,single,1,1,1,0.9595,0.9879,,0.9879,0.9982,,0.9982,0.9730,,0.9730,77.92,84.22,0,0,0,53700,66100,70600,media_relay_c50_r1,
enet,enet_r0_u30_1000_5_broadcast_0_adaptive,media_relay,5,enet_throttle,single,1,1,1,0.9614,0.9860,,0.9860,0.9993,,0.9993,0.9757,,0.9757,11.28,11.85,0,0,0,50400,61800,66500,media_relay_c5_r1,
enet,enet_r0_u30_1000_75_broadcast_0_adaptive,media_relay,75,enet_throttle,single,3,3,1,0.5060,0.5235,,0.5235,0.9874,,0.9874,0.9797,,0.9797,97.22,99.78,0,0,0,277800,325400,336800,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
enet,enet_r1_u20_128_1_broadcast_0_adaptive,game_server,1,enet_throttle,single,1,1,1,0.9762,0.9833,1.0000,0.9825,1.0000,1.0000,1.0000,0.9927,1.0000,0.9924,10.29,11.32,54700,126500,548800,50100,63100,68700,game_server_c1_r1,
enet,enet_r1_u20_128_5_broadcast_0_adaptive,game_server,5,enet_throttle,single,1,1,1,0.9699,0.9862,1.0000,0.9855,0.9981,0.9860,0.9987,0.9854,1.0000,0.9847,11.05,12.37,52000,130300,553200,50100,61500,66000,game_server_c5_r1,
enet,enet_r1_u20_128_64_broadcast_0_adaptive,game_server,64,enet_throttle,single,1,1,1,0.9608,0.9888,1.0000,0.9882,0.9936,0.9762,0.9945,0.9779,1.0000,0.9768,53.10,64.55,56900,128600,149100,50500,62200,67000,game_server_c64_r1,
enet,enet_r1_u20_128_96_broadcast_0_adaptive,game_server,96,enet_throttle,single,3,3,1,0.9416,0.9886,1.0000,0.9880,0.9937,0.9757,0.9945,0.9587,1.0000,0.9567,76.96,87.46,57800,128300,242600,51300,63400,68400,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
enet,enet_r50_u0_64_1000_echo_0_adaptive,reliable_echo,1000,enet_throttle,single,1,1,1,0.9990,0.9990,0.9988,,1.0000,1.0000,,1.0000,1.0000,,96.46,99.25,104300,319400,737000,0,0,0,reliable_echo_c1000_r1,
enet,enet_r50_u0_64_1500_echo_0_adaptive,reliable_echo,1500,enet_throttle,single,3,3,1,0.0629,0.0637,0.0636,,1.0000,1.0000,,0.9874,0.9874,,95.69,98.11,610400,1590000,3024000,0,0,0,reliable_echo_c1500_r1;reliable_echo_c1500_r2;reliable_echo_c1500_r3,
enet,enet_r50_u0_64_1_echo_0_adaptive,reliable_echo,1,enet_throttle,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,10.38,11.40,51200,94900,345800,0,0,0,reliable_echo_c1_r1,
enet,enet_r50_u0_64_200_echo_0_adaptive,reliable_echo,200,enet_throttle,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,39.85,43.70,51100,83400,127300,0,0,0,reliable_echo_c200_r1,
enet,enet_r50_u0_64_50_echo_0_adaptive,reliable_echo,50,enet_throttle,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,16.90,17.96,51000,89700,136900,0,0,0,reliable_echo_c50_r1,
enet,enet_r50_u0_64_600_echo_0_adaptive,reliable_echo,600,enet_throttle,single,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,95.46,98.67,52600,87400,129800,0,0,0,reliable_echo_c600_r1,
enet,enet_r50_u50_64_1000_echo_0_adaptive,echo,1000,enet_throttle,single,3,3,1,0.8878,0.9103,0.9969,0.8233,1.0000,1.0000,1.0000,0.9721,0.9999,0.9385,96.53,99.25,149100,581600,1396000,94100,164100,185600,echo_c1000_r1;echo_c1000_r2;echo_c1000_r3,
enet,enet_r50_u50_64_1_echo_0_adaptive,echo,1,enet_throttle,single,1,1,1,0.9900,0.9935,1.0000,0.9870,1.0000,1.0000,1.0000,0.9965,1.0000,0.9929,10.35,11.26,51500,92300,130200,50700,61100,66200,echo_c1_r1,
enet,enet_r50_u50_64_200_echo_0_adaptive,echo,200,enet_throttle,single,1,1,1,0.9862,0.9914,1.0000,0.9828,1.0000,1.0000,1.0000,0.9948,1.0000,0.9894,44.13,47.67,51100,86100,128800,50300,61900,66700,echo_c200_r1,
enet,enet_r50_u50_64_50_echo_0_adaptive,echo,50,enet_throttle,single,1,1,1,0.9892,0.9942,1.0000,0.9884,1.0000,1.0000,1.0000,0.9950,1.0000,0.9899,17.88,19.25,51100,90300,135400,50200,61700,66400,echo_c50_r1,
enet,enet_r50_u50_64_600_echo_0_adaptive,echo,600,enet_throttle,single,1,1,1,0.9879,0.9945,1.0000,0.9889,1.0000,1.0000,1.0000,0.9934,1.0000,0.9868,97.64,99.79,54500,89200,132000,53700,66300,71300,echo_c600_r1,
gns,gns_r0_u30_1000_1_broadcast_0_adaptive,media_relay,1,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9850,0.9933,,0.9933,1.0000,,1.0000,0.9916,,0.9916,9.27,10.65,0,0,0,60800,72300,75800,media_relay_c1_r1,
gns,gns_r0_u30_1000_50_broadcast_0_adaptive,media_relay,50,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9659,0.9910,,0.9910,0.9926,,0.9926,0.9820,,0.9820,115.25,126.86,0,0,0,55500,66800,71400,media_relay_c50_r1,
gns,gns_r0_u30_1000_5_broadcast_0_adaptive,media_relay,5,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9717,0.9893,,0.9893,0.9993,,0.9993,0.9829,,0.9829,10.76,12.41,0,0,0,59200,70900,75700,media_relay_c5_r1,
gns,gns_r0_u30_1000_75_broadcast_0_adaptive,media_relay,75,tfrc_maxrate_boosted,internal_worker,3,3,1,0.1724,0.5923,,0.5923,0.9904,,0.9904,0.2912,,0.2912,134.59,166.74,0,0,0,839000,5591000,5743000,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
gns,gns_r1_u20_128_128_broadcast_0_adaptive,game_server,128,tfrc_maxrate_boosted,internal_worker,3,3,1,0.9167,0.9780,1.0000,0.9774,0.9530,0.9346,0.9539,0.9873,1.0000,0.9867,166.39,172.47,860300,1649000,1714000,866700,1642000,1713000,game_server_c128_r1;game_server_c128_r2;game_server_c128_r3,
gns,gns_r1_u20_128_1_broadcast_0_adaptive,game_server,1,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9786,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.9856,1.0000,0.9849,9.15,10.18,62200,74500,199000,60900,71800,77000,game_server_c1_r1,
gns,gns_r1_u20_128_5_broadcast_0_adaptive,game_server,5,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9796,0.9919,1.0000,0.9915,0.9981,0.9800,0.9990,0.9895,1.0000,0.9890,10.05,11.97,60700,74700,202500,59600,71600,76400,game_server_c5_r1,
gns,gns_r1_u20_128_64_broadcast_0_adaptive,game_server,64,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9741,0.9902,1.0000,0.9897,0.9937,0.9754,0.9946,0.9900,1.0000,0.9896,46.22,61.62,59000,115800,154800,57500,69900,75000,game_server_c64_r1,
gns,gns_r1_u20_128_96_broadcast_0_adaptive,game_server,96,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9745,0.9915,1.0000,0.9911,0.9930,0.9753,0.9939,0.9897,1.0000,0.9892,92.41,124.63,62400,117700,159400,57800,71000,76300,game_server_c96_r1,
gns,gns_r50_u0_64_1000_echo_0_adaptive,reliable_echo,1000,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,122.43,131.02,74200,142700,203100,0,0,0,reliable_echo_c1000_r1,
gns,gns_r50_u0_64_1500_echo_0_adaptive,reliable_echo,1500,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,141.87,155.09,94900,181500,246000,0,0,0,reliable_echo_c1500_r1,
gns,gns_r50_u0_64_1_echo_0_adaptive,reliable_echo,1,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,9.40,10.64,61800,123500,181600,0,0,0,reliable_echo_c1_r1,
gns,gns_r50_u0_64_2000_echo_0_adaptive,reliable_echo,2000,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,0.9998,,1.0000,1.0000,,1.0000,1.0000,,154.67,170.16,114700,214600,295300,0,0,0,reliable_echo_c2000_r1,
gns,gns_r50_u0_64_200_echo_0_adaptive,reliable_echo,200,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,41.12,54.75,62100,124400,182500,0,0,0,reliable_echo_c200_r1,
gns,gns_r50_u0_64_3000_echo_0_adaptive,reliable_echo,3000,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9985,0.9988,0.9988,,1.0000,1.0000,,0.9998,0.9998,,168.98,189.25,434800,855800,1108000,0,0,0,reliable_echo_c3000_r1,
gns,gns_r50_u0_64_50_echo_0_adaptive,reliable_echo,50,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,17.69,27.54,61900,124300,182000,0,0,0,reliable_echo_c50_r1,
gns,gns_r50_u0_64_600_echo_0_adaptive,reliable_echo,600,tfrc_maxrate_boosted,internal_worker,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,96.24,104.07,64100,130300,189400,0,0,0,reliable_echo_c600_r1,
gns,gns_r50_u50_64_1000_echo_0_adaptive,echo,1000,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9902,0.9950,1.0000,0.9900,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,149.04,158.52,81700,131400,181000,80400,100600,113900,echo_c1000_r1,
gns,gns_r50_u50_64_1500_echo_0_adaptive,echo,1500,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9901,0.9950,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,170.55,187.57,126900,208200,295500,123500,166400,185100,echo_c1500_r1,
gns,gns_r50_u50_64_1_echo_0_adaptive,echo,1,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9935,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9980,1.0000,0.9960,9.42,10.18,61400,77800,128700,61000,72100,77500,echo_c1_r1,
gns,gns_r50_u50_64_2000_echo_0_adaptive,echo,2000,tfrc_maxrate_boosted,internal_worker,3,3,1,0.8643,0.8680,0.9999,0.7358,1.0000,1.0000,1.0000,0.9957,0.9999,0.9900,181.06,193.61,462000,858700,1159000,231100,502800,588000,echo_c2000_r1;echo_c2000_r2;echo_c2000_r3,
gns,gns_r50_u50_64_200_echo_0_adaptive,echo,200,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9901,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9950,1.0000,0.9900,46.32,67.61,61500,97400,141500,60700,72400,77100,echo_c200_r1,
gns,gns_r50_u50_64_50_echo_0_adaptive,echo,50,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9898,0.9950,1.0000,0.9899,1.0000,1.0000,1.0000,0.9948,1.0000,0.9895,18.82,21.71,61700,99900,142700,60900,72600,77300,echo_c50_r1,
gns,gns_r50_u50_64_600_echo_0_adaptive,echo,600,tfrc_maxrate_boosted,internal_worker,1,1,1,0.9902,0.9951,1.0000,0.9901,1.0000,1.0000,1.0000,0.9951,1.0000,0.9902,110.89,124.60,64100,110600,150200,63000,82300,106600,echo_c600_r1,
kcp,kcp_r0_u30_1000_1_broadcast_0_adaptive,media_relay,1,unknown,unknown,1,1,1,0.9817,0.9883,,0.9883,1.0000,,1.0000,0.9933,,0.9933,9.33,9.90,0,0,0,50000,61300,64900,media_relay_c1_r1,
kcp,kcp_r0_u30_1000_50_broadcast_0_adaptive,media_relay,50,unknown,unknown,1,1,1,0.9799,0.9906,,0.9906,0.9992,,0.9992,0.9900,,0.9900,72.74,79.76,0,0,0,55800,68600,72800,media_relay_c50_r1,
kcp,kcp_r0_u30_1000_5_broadcast_0_adaptive,media_relay,5,unknown,unknown,1,1,1,0.9755,0.9850,,0.9850,0.9993,,0.9993,0.9910,,0.9910,9.70,10.70,0,0,0,50000,62000,67100,media_relay_c5_r1,
kcp,kcp_r0_u30_1000_75_broadcast_0_adaptive,media_relay,75,unknown,unknown,3,3,1,0.5407,0.5469,,0.5469,0.9985,,0.9985,0.9900,,0.9900,98.81,99.74,0,0,0,278900,326700,338900,media_relay_c75_r1;media_relay_c75_r2;media_relay_c75_r3,
kcp,kcp_r1_u20_128_1_broadcast_0_adaptive,game_server,1,unknown,unknown,1,1,1,0.9905,0.9929,1.0000,0.9925,1.0000,1.0000,1.0000,0.9976,1.0000,0.9975,9.34,9.93,56900,72900,73200,48900,60600,66500,game_server_c1_r1,
kcp,kcp_r1_u20_128_5_broadcast_0_adaptive,game_server,5,unknown,unknown,1,1,1,0.9820,0.9929,1.0000,0.9925,0.9988,0.9860,0.9994,0.9903,1.0000,0.9898,9.53,10.29,57800,70400,111000,50000,61500,66300,game_server_c5_r1,
kcp,kcp_r1_u20_128_64_broadcast_0_adaptive,game_server,64,unknown,unknown,1,1,1,0.9791,0.9901,1.0000,0.9896,0.9984,0.9837,0.9991,0.9905,1.0000,0.9900,52.41,77.62,67200,113400,139900,53100,65800,70700,game_server_c64_r1,
kcp,kcp_r1_u20_128_96_broadcast_0_adaptive,game_server,96,unknown,unknown,3,3,1,0.5118,0.5181,0.9719,0.4959,0.9972,0.9868,0.9982,0.9909,1.0000,0.9900,98.72,99.63,1336000,3915000,4802000,456600,723000,793200,game_server_c96_r1;game_server_c96_r2;game_server_c96_r3,
kcp,kcp_r50_u0_64_1000_echo_0_adaptive,reliable_echo,1000,unknown,unknown,1,1,1,0.9990,0.9990,0.9990,,1.0000,1.0000,,1.0000,1.0000,,96.97,98.31,172400,474600,1216000,0,0,0,reliable_echo_c1000_r1,
kcp,kcp_r50_u0_64_1500_echo_0_adaptive,reliable_echo,1500,unknown,unknown,3,3,1,0.8097,0.8146,0.8146,,1.0000,1.0000,,0.9943,0.9943,,94.54,98.72,1056000,8936000,13903000,0,0,0,reliable_echo_c1500_r1;reliable_echo_c1500_r2;reliable_echo_c1500_r3,
kcp,kcp_r50_u0_64_1_echo_0_adaptive,reliable_echo,1,unknown,unknown,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,9.34,10.01,58300,100200,132500,0,0,0,reliable_echo_c1_r1,
kcp,kcp_r50_u0_64_200_echo_0_adaptive,reliable_echo,200,unknown,unknown,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,20.44,21.62,58000,84800,127500,0,0,0,reliable_echo_c200_r1,
kcp,kcp_r50_u0_64_50_echo_0_adaptive,reliable_echo,50,unknown,unknown,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,11.65,12.58,57900,86000,127400,0,0,0,reliable_echo_c50_r1,
kcp,kcp_r50_u0_64_600_echo_0_adaptive,reliable_echo,600,unknown,unknown,1,1,1,1.0000,1.0000,1.0000,,1.0000,1.0000,,1.0000,1.0000,,59.64,64.94,56800,83800,126200,0,0,0,reliable_echo_c600_r1,
kcp,kcp_r50_u50_64_1_echo_0_adaptive,echo,1,unknown,unknown,1,1,1,0.9885,0.9955,1.0000,0.9910,1.0000,1.0000,1.0000,0.9930,1.0000,0.9859,9.34,9.87,57400,79300,126400,50200,61700,66700,echo_c1_r1,
